,latitude,longitude,number,name,address,groupe
132,-27.454746,153.036154,57,57 - BRIDGE ST / WICKHAM ST,Bridge St / Wickham St,1
106,-27.468407,153.048273,83,83 - SYDNEY ST / BRUNSWICK ST,Sydney St / Brunswick St,1
26,-27.461041,153.037902,78,78 - MALT ST / BRUNSWICK ST,Malt St / Brunswick St,1
46,-27.473304,153.048757,85,85 - OXLADE DR / TURNER AVE,Oxlade Dr / Turner Ave,1
88,-27.448074,153.045762,76,76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,1
49,-27.467802,153.053645,72,72 - LAMINGTON ST / POWERHOUSE,Lamington St / Powerhouse,1
55,-27.459833,153.033445,49,49 - ANN STREET / GIPPS STREET,Ann St / Gipps St,1
58,-27.452468,153.040565,63,63 - ANN ST / MURRI WAY,Ann St / Murri Way,1
60,-27.467498,153.0467,82,82 - BRUNSWICK ST / MERTHYR RD,Brunswick St / Merthyr Rd,1
61,-27.463678,153.049485,74,74 - MERTHYR RD / JAMES ST,Merthyr Rd / James St,1
39,-27.456276,153.039196,59,59 - JAMES ST / MCLACHLAN ST,James St / McLachlan St,1
65,-27.46048,153.032768,48,48 - ANN ST / GOTHA ST,Ann St / Gotha St,1
66,-27.461803,153.036021,53,53 - BOWEN TCE / BRADFIELD HWY,Bowen Tce / Bradfield Hwy,1
68,-27.459091,153.050239,70,70 - MACQUARIE ST / BEESTON ST,Macquarie St / Beeston St,1
36,-27.46123,153.031077,47,47 - TURBOT ST / BARRY PDE,Turbot St / Barry Pde,1
71,-27.455907,153.050013,69,69 - VERNON TCE / FLORENCE ST,Vernon Tce / Florence St,1
35,-27.457512,153.033841,52,52 - BRUNSWICK ST MALL / WICKHAM ST,Brunswick St Mall / Wickham St,1
69,-27.469931,153.043525,87,87 - MERTHYR RD / REGINALD ST,Merthyr Rd / Reginald St,1
30,-27.458641,153.03208,50,50 - GIPPS ST / WICKHAM ST,Gipps St / Wickham St,1
80,-27.453195,153.0401,62,62 - ANN ST / CHESTER ST,Ann St / Chester St,1
33,-27.454394,153.049519,68,68 - VERNON TCE / ETHEL ST,Vernon Tce / Ethel St,1
27,-27.454482,153.046802,65,65 - CHERMSIDE ST / COMMERCIAL RD,Chermside St / Commercial Rd,1
84,-27.453127,153.037559,60,60 - WICKHAM STREET / BROOKES STREET,Wickham St / Brookes St,1
29,-27.453717,153.034042,56,56 - CONSTANCE ST / ST PAULS TCE,Constance St / St Pauls Tce,1
63,-27.479453,152.997215,141,141 - LAND ST / CORONATION DR,Land St / Coronation Dr,2
96,-27.485078,153.002382,108,108 - ROGERS ST / MONTAGUE RD,Rogers St / Montague Rd,2
95,-27.469501,153.004129,135,135 - PARK RD / RAILWAY TCE,Park Rd / Railway Tce,2
24,-27.492876,153.006071,150,150 - MACQUARIE ST / MUNRO ST,Macquarie St / Munro St,2
8,-27.493963,153.011938,24,24 - SIR WILLIAM MCGREGOR DR / SIR FRED SCHONNELL,Sir William McGregor Dr / Sir Fred Schonnell,2
54,-27.470987,153.004602,136,136 - PARK RD / DOUGLAS ST,Park Rd / Douglas St,2
137,-27.482082,153.006981,104,104 - HARDGRAVE RD / SKINNER ST,Hardgrave Rd / Skinner St,2
7,-27.476076,153.002459,139,139 - BI-CENTENNIAL BIKE WAY / LANG PDE,Bi-centennial Bike Way / Lang Pde,2
6,-27.493626,153.001482,149,149 - MACQUARIE ST / GUYATT PARK,Macquarie St / Guyatt Park,2
5,-27.48172,153.00436,109,109 - MONTAGUE RD / SKINNER ST,Montague Rd / Skinner St,2
53,-27.494561,153.016318,27,27 - BLAIR DR / SIR WILLIAM MACGREGOR DR,Blair Dr / Sir William McGregor Dr,2
142,-27.472413,153.001803,137,137 - KILROE ST / DORSEY ST,Kilroe St / Dorsey St,2
50,-27.485872,152.99347,145,145 - CORONATION DR / ARCHER ST,Coronation Dr / Archer St,2
48,-27.483168,152.996419,143,143 - REGATTA FERRY TERMINAL / SYLVAN RD,Regatta Ferry Terminal / Sylvan Rd,2
47,-27.473888,153.000599,138,138 - ROY ST / LANG PDE,Roy St / Lang Pde,2
128,-27.478235,153.015173,101,101 - RUSSELL ST / EDMONDSTONE ST,Russell St / Edmondstone St,2
127,-27.482081,152.995804,142,142 - SYLVAN RD / CORONATION DR,Sylvan Rd / Coronation Dr,2
34,-27.468845,153.007364,134,134 - RAILWAY TCE / CRIBB ST,Railway Tce / Cribb St,2
82,-27.480768,153.011121,103,103 - VULTURE ST / THOMAS ST,Vulture St / Thomas St,2
105,-27.482562,153.011831,120,120 - BOUNDARY ST / VULTURE ST,Boundary St / Vulture St,2
75,-27.478214,153.006181,110,110 - JANE ST / MONTAGUE RD,Jane St / Montague Rd,2
73,-27.476724,153.010063,112,112 - BANK ST / MOLLISON ST,Bank St / Mollison St,2
72,-27.480164,153.016181,113,113 - EDMONDSTONE ST / VULTURE ST,Edmondstone St / Vulture St,2
110,-27.479149,153.012132,126,126 - JANE ST / BOUNDARY ST,Jane St / Boundary St,2
111,-27.487155,153.007281,105,105 - DORNOCH TCE / HARDGRAVE RD,Dornoch Tce / Hardgrave Rd,2
112,-27.480885,153.014585,102,102 - BESANT ST / VULTURE ST,Besant St / Vulture St,2
17,-27.490776,152.994747,147,147 - SANDFORD ST / BRISBANE ST,Sandford St / Brisbane St,2
77,-27.467971,153.009968,132,132 - LITTLE CRIBB ST / BOOMERANG ST,Little Cribb St / Boomerang St,2
16,-27.499963,153.017633,97,97 - THYNNE RD / COLLEGE RD,Thynne Rd / College Rd,2
116,-27.47666,153.013287,100,100 - MELBOURNE ST / EDMONDSTONE ST,Melbourne St /  Edmondstone St,2
32,-27.468839,153.011115,133,133 - CORONATION DR / GO BETWEEN BRIDGE,Coronation Dr / Go Between Bridge,2
100,-27.48872,152.999585,107,107 - DRURY ST / MONTAGUE RD,Drury St / Montague Rd,2
89,-27.474227,153.011164,115,115 - MONTAGUE RD / BRERETON ST,Montague Rd / Brereton St,2
120,-27.485075,152.990627,144,144 - JEPHSON ST / SHERWOOD RD,Jephson St / Sherwood Rd,2
121,-27.492489,152.996768,148,148 - SANDFORD ST / AUSTRAL ST,Sandford St / Austral St,2
122,-27.487187,152.993052,146,146 - BRISBANE ST / GLEN RD,Brisbane St / Glen Rd,2
37,-27.476003,153.000676,140,140 - DUNMORE TCE / KINGSFORD ST,Dunmore Tce / Kingsford St,2
115,-27.489807,153.002405,106,106 - ORLEIGH ST / HOOGLEY ST,Orleigh St / Hoogley St,2
97,-27.476474,153.008182,111,111 - DONKIN ST / MONTAGUE RD,Donkin St / Montague Rd,2
