,latitude,longitude,number,address,name,groupe
50,-27.485872,152.99347,145,Coronation Dr / Archer St,145 - CORONATION DR / ARCHER ST,2
72,-27.480164,153.016181,113,Edmondstone St / Vulture St,113 - EDMONDSTONE ST / VULTURE ST,2
137,-27.482082,153.006981,104,Hardgrave Rd / Skinner St,104 - HARDGRAVE RD / SKINNER ST,2
63,-27.479453,152.997215,141,Land St / Coronation Dr,141 - LAND ST / CORONATION DR,2
73,-27.476724,153.010063,112,Bank St / Mollison St,112 - BANK ST / MOLLISON ST,2
8,-27.493963,153.011938,24,Sir William McGregor Dr / Sir Fred Schonnell,24 - SIR WILLIAM MCGREGOR DR / SIR FRED SCHONNELL,2
7,-27.476076,153.002459,139,Bi-centennial Bike Way / Lang Pde,139 - BI-CENTENNIAL BIKE WAY / LANG PDE,2
142,-27.472413,153.001803,137,Kilroe St / Dorsey St,137 - KILROE ST / DORSEY ST,2
6,-27.493626,153.001482,149,Macquarie St / Guyatt Park,149 - MACQUARIE ST / GUYATT PARK,2
5,-27.48172,153.00436,109,Montague Rd / Skinner St,109 - MONTAGUE RD / SKINNER ST,2
53,-27.494561,153.016318,27,Blair Dr / Sir William McGregor Dr,27 - BLAIR DR / SIR WILLIAM MACGREGOR DR,2
75,-27.478214,153.006181,110,Jane St / Montague Rd,110 - JANE ST / MONTAGUE RD,2
82,-27.480768,153.011121,103,Vulture St / Thomas St,103 - VULTURE ST / THOMAS ST,2
54,-27.470987,153.004602,136,Park Rd / Douglas St,136 - PARK RD / DOUGLAS ST,2
89,-27.474227,153.011164,115,Montague Rd / Brereton St,115 - MONTAGUE RD / BRERETON ST,2
127,-27.482081,152.995804,142,Sylvan Rd / Coronation Dr,142 - SYLVAN RD / CORONATION DR,2
111,-27.487155,153.007281,105,Dornoch Tce / Hardgrave Rd,105 - DORNOCH TCE / HARDGRAVE RD,2
112,-27.480885,153.014585,102,Besant St / Vulture St,102 - BESANT ST / VULTURE ST,2
77,-27.467971,153.009968,132,Little Cribb St / Boomerang St,132 - LITTLE CRIBB ST / BOOMERANG ST,2
95,-27.469501,153.004129,135,Park Rd / Railway Tce,135 - PARK RD / RAILWAY TCE,2
115,-27.489807,153.002405,106,Orleigh St / Hoogley St,106 - ORLEIGH ST / HOOGLEY ST,2
116,-27.47666,153.013287,100,Melbourne St /  Edmondstone St,100 - MELBOURNE ST / EDMONDSTONE ST,2
96,-27.485078,153.002382,108,Rogers St / Montague Rd,108 - ROGERS ST / MONTAGUE RD,2
128,-27.478235,153.015173,101,Russell St / Edmondstone St,101 - RUSSELL ST / EDMONDSTONE ST,2
37,-27.476003,153.000676,140,Dunmore Tce / Kingsford St,140 - DUNMORE TCE / KINGSFORD ST,2
120,-27.485075,152.990627,144,Jephson St / Sherwood Rd,144 - JEPHSON ST / SHERWOOD RD,2
121,-27.492489,152.996768,148,Sandford St / Austral St,148 - SANDFORD ST / AUSTRAL ST,2
122,-27.487187,152.993052,146,Brisbane St / Glen Rd,146 - BRISBANE ST / GLEN RD,2
32,-27.468839,153.011115,133,Coronation Dr / Go Between Bridge,133 - CORONATION DR / GO BETWEEN BRIDGE,2
97,-27.476474,153.008182,111,Donkin St / Montague Rd,111 - DONKIN ST / MONTAGUE RD,2
105,-27.482562,153.011831,120,Boundary St / Vulture St,120 - BOUNDARY ST / VULTURE ST,2
24,-27.492876,153.006071,150,Macquarie St / Munro St,150 - MACQUARIE ST / MUNRO ST,2
34,-27.468845,153.007364,134,Railway Tce / Cribb St,134 - RAILWAY TCE / CRIBB ST,2
100,-27.48872,152.999585,107,Drury St / Montague Rd,107 - DRURY ST / MONTAGUE RD,2
